1|Beachfront Vista|1|Apartment|4|2|7|4
2|Urban Retreat|2|House|6|3|14|4
3|The Cozy Nook|3|Hut|2|1|3|4
4|Skyline Flat|4|Apartment|5|2|5|4
5|Historic Hideaway|5|House|7|3|10|4
6|Lakeview Cabin|6|Hut|4|2|7|4
7|City Loft|7|Apartment|3|2|14|4
8|Seaside Escape|8|House|5|4|7|4
9|Mountain Retreat|9|Hut|6|2|3|4
10|Garden Bungalow|10|House|4|1|5|4
11|Riverfront Studio|11|Apartment|2|3|14|4
12|Sunset Villa|12|House|8|5|7|4
13|Forest Cabin|13|Hut|3|2|10|4
14|Downtown Condo|14|Apartment|4|2|7|4
15|The Grand Manor|15|House|10|4|14|4
