1|Los Angeles|California
2|New York|New York
3|Chicago|Illinois
4|Houston|Texas
5|Phoenix|Arizona
6|Philadelphia|Pennsylvania
7|San Antonio|Texas
8|San Diego|California
9|Dallas|Texas
10|San Jose|California
11|Austin|Texas
12|Jacksonville|Florida
13|Fort Worth|Texas
14|Columbus|Ohio
15|Charlotte|North Carolina
16|Kula|Srbija
17|Strpce|Srbija
18|Budimpesta|Madjarska
19|Novi Sad|Srbija
20|Vrbas|Srbija
21|Loznica|Srbija
22|Leskovac|Srbija
23|Beograd|Srbija
24|London|UK
25|Derventa|BiH
26|Kragujevac|Srbija
27|Nis|Srbija
28|Rim|Italija
29|Rim|Italija
29|Mataruska Banja|Srbija
30|Denver|Colorado
31|Zlatibor|Srbija
